iter	Passed	Remaining
442	1243	1563
443	1246	1560
444	1251	1560
445	1254	1558
446	1257	1556
447	1260	1553
448	1263	1550
449	1265	1547
450	1268	1543
451	1271	1541
452	1273	1537
453	1275	1534
454	1277	1530
455	1280	1527
456	1282	1524
457	1285	1520
458	1287	1517
459	1290	1514
460	1292	1511
461	1295	1508
462	1297	1505
463	1300	1502
464	1302	1498
465	1305	1495
466	1307	1492
467	1310	1489
468	1312	1486
469	1315	1483
470	1317	1480
471	1320	1477
472	1323	1474
473	1325	1471
474	1328	1468
475	1330	1465
476	1334	1462
477	1335	1458
478	1338	1455
479	1340	1452
480	1343	1449
481	1345	1446
482	1347	1442
483	1350	1439
484	1352	1436
485	1355	1433
486	1357	1429
487	1360	1427
488	1362	1423
489	1364	1420
490	1366	1416
491	1369	1413
492	1371	1410
493	1374	1407
494	1376	1404
495	1379	1401
496	1381	1398
497	1384	1395
498	1386	1392
499	1389	1389
500	1391	1385
501	1393	1382
502	1396	1380
503	1399	1377
504	1401	1374
505	1404	1371
506	1407	1368
507	1409	1365
508	1412	1362
509	1414	1359
510	1417	1356
511	1419	1353
512	1422	1350
513	1424	1347
514	1426	1343
515	1429	1340
516	1431	1337
517	1433	1333
518	1436	1330
519	1438	1327
520	1440	1324
521	1443	1321
522	1445	1318
523	1448	1315
524	1451	1312
525	1453	1309
526	1455	1306
527	1457	1303
528	1460	1300
529	1463	1297
530	1465	1294
531	1467	1290
532	1469	1287
533	1472	1284
534	1474	1281
535	1477	1278
536	1479	1275
537	1482	1272
538	1484	1269
539	1486	1266
540	1489	1263
541	1492	1260
542	1494	1257
543	1496	1254
544	1499	1251
545	1502	1249
546	1504	1246
547	1507	1243
548	1510	1240
549	1513	1238
550	1516	1235
551	1518	1232
552	1521	1229
553	1524	1227
554	1526	1224
555	1528	1220
556	1531	1217
557	1533	1214
558	1536	1212
559	1539	1209
560	1541	1206
561	1544	1203
562	1546	1200
563	1549	1197
564	1551	1194
565	1554	1191
566	1556	1188
567	1559	1185
568	1561	1182
569	1564	1179
570	1566	1176
571	1568	1173
572	1571	1170
573	1573	1167
574	1575	1164
575	1578	1161
576	1580	1158
577	1582	1155
578	1584	1152
579	1587	1149
580	1589	1146
581	1592	1143
582	1594	1140
583	1597	1137
584	1599	1134
585	1602	1132
586	1605	1129
587	1607	1126
588	1609	1123
589	1612	1120
590	1615	1117
591	1618	1115
592	1621	1112
593	1624	1110
594	1626	1107
595	1629	1104
596	1632	1101
597	1634	1099
598	1638	1096
599	1640	1093
600	1643	1091
601	1645	1087
602	1647	1084
603	1650	1082
604	1653	1079
605	1656	1076
606	1659	1074
607	1661	1071
608	1664	1068
609	1667	1066
610	1670	1063
611	1673	1060
612	1676	1058
613	1678	1055
614	1681	1052
615	1683	1049
616	1685	1046
617	1688	1043
618	1691	1040
619	1693	1037
620	1695	1034
621	1698	1031
622	1700	1029
623	1703	1026
624	1706	1023
625	1708	1020
626	1710	1017
627	1712	1014
628	1715	1011
629	1718	1009
630	1721	1006
631	1723	1003
632	1726	1001
633	1728	998
634	1731	994
635	1733	992
636	1736	989
637	1739	987
638	1742	984
639	1744	981
640	1747	978
641	1749	975
642	1752	973
643	1755	970
644	1758	967
645	1760	964
646	1763	962
647	1766	959
648	1769	956
649	1772	954
650	1775	951
651	1778	949
652	1781	946
653	1784	943
654	1786	941
655	1790	938
656	1794	936
